[Sun 2018-08-12 10:14:33 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Sun 2018-08-12 10:14:38 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:14:41 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:14:45 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-08-12 10:36:51 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:36:53 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:36:55 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:36:57 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-08-12 10:36:59 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:37:01 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:37:03 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:37:04 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:37:07 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Sun 2018-08-12 10:37:10 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 10:37:12 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:37:15 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:37:17 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 10:37:19 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:37:21 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:37:23 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:37:27 AM] [client 47.15.121.68] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
