[Thu 2018-05-10 11:57:38 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 22 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:39 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 23 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:40 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 24 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:41 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 25 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:42 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 26 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:43 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 27 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:44 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 28 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:45 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 29 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:46 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 30 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:47 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 31 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:48 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 32 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:50 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 33 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-05-10 11:57:51 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 34 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:52 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 35 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:53 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 36 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:54 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 37 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:55 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 38 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:56 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 39 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:57:57 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 40 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:57:57 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 41 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:58 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 42 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:59 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 43 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:00 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 44 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:01 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 45 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:02 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 46 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:03 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 47 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:04 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 48 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:05 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 49 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:06 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 50 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:07 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 51 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:08 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 52 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:09 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 53 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:10 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 54 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:11 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 55 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:13 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 56 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:58:14 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 57 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:15 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 58 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:16 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 59 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:58:17 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 60 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:18 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 61 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:58:19 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 62 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:58:20 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 63 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:03 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 0 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
